# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
115036,-1.4963214,0.0000000,-0.1076948,-1.4753634,0.0000000,-0.1061864,1.4791797400,1.6426454782,3.1415927410,-0.0210122671,19054.8476562500,-15.1461734772
115037,-1.4961540,0.0000000,-0.1106902,-1.4608466,0.0000000,-0.1080780,1.4648391008,1.6446449757,3.1415927410,-0.0354038216,19067.2539062500,-11.7534418106
115038,-1.4959865,0.0000000,-0.1136855,-1.4434427,0.0000000,-0.1096925,1.4476046562,1.6466442347,3.1415927410,-0.0526953377,19078.5546875000,-5.3483877182
115039,-1.4958190,0.0000000,-0.1166808,-1.4577551,0.0000000,-0.1137116,1.4621833563,1.6486432552,3.1415927410,-0.0381796025,19101.6328125000,-6.9831376076
115040,-1.4956516,0.0000000,-0.1196761,-1.4684269,0.0000000,-0.1174977,1.4731203318,1.6506422758,3.1415927410,-0.0273116473,19123.3457031250,-8.7068758011
115041,-1.4954841,0.0000000,-0.1226714,-1.4788416,0.0000000,-0.1213063,1.4838085175,1.6526410580,3.1415927410,-0.0166984331,19144.9550781250,-18.2218036652
115042,-1.4949992,0.0000000,-0.1284464,-1.4630828,0.0000000,-0.1257043,1.4684729576,1.6565032005,3.1415927410,-0.0320339911,19173.2695312500,-8.2386045456
115043,-1.4946648,0.0000000,-0.1314278,-1.4727143,0.0000000,-0.1294976,1.4783967733,1.6585019827,3.1415927410,-0.0220351126,19194.5449218750,-11.6475954056
115044,-1.4943304,0.0000000,-0.1344091,-1.4583848,0.0000000,-0.1311759,1.4642722607,1.6605010033,3.1415927410,-0.0360906459,19206.8359375000,-6.5477933884
115045,-1.4939959,0.0000000,-0.1373904,-1.4563398,0.0000000,-0.1339274,1.4624849558,1.6625000238,3.1415927410,-0.0378150679,19223.7070312500,-9.4980611801
115046,-1.4936615,0.0000000,-0.1403717,-1.4559507,0.0000000,-0.1368277,1.4623659849,1.6644994020,3.1415927410,-0.0378769971,19241.1835937500,-7.5257611275
115047,-1.4933271,0.0000000,-0.1433530,-1.4517206,0.0000000,-0.1393589,1.4583941698,1.6664987803,3.1415927410,-0.0417978093,19257.2011718750,-6.6161980629
115048,-1.4929927,0.0000000,-0.1463343,-1.4607996,0.0000000,-0.1431789,1.4677995443,1.6684982777,3.1415927410,-0.0323474258,19278.2070312500,-11.9766244888
115049,-1.4926583,0.0000000,-0.1493156,-1.4565037,0.0000000,-0.1456989,1.4637728930,1.6704980135,3.1415927410,-0.0363350622,19294.1660156250,-9.7446575165
115050,-1.4923239,0.0000000,-0.1522969,-1.4594564,0.0000000,-0.1489426,1.4670367241,1.6724977493,3.1415927410,-0.0330382250,19312.8398437500,-11.0667810440
115051,-1.4919895,0.0000000,-0.1552782,-1.4566862,0.0000000,-0.1516040,1.4645540714,1.6744976044,3.1415927410,-0.0354939736,19329.3378906250,-7.4400858879
115052,-1.4916551,0.0000000,-0.1582595,-1.4839569,0.0000000,-0.1574427,1.4922856092,1.6764974594,3.1415927410,-0.0077414471,19357.1738281250,-25.8860855103
115053,-1.4913207,0.0000000,-0.1612408,-1.4568680,0.0000000,-0.1575158,1.4653584957,1.6784974337,3.1415927410,-0.0346534811,19364.4453125000,-12.5537548065
115054,-1.4909863,0.0000000,-0.1642221,-1.4557369,0.0000000,-0.1603396,1.4645403624,1.6804974079,3.1415927410,-0.0354626030,19381.5097656250,-7.3727278709
115055,-1.4906519,0.0000000,-0.1672034,-1.4430759,0.0000000,-0.1618669,1.4521256685,1.6824973822,3.1415927410,-0.0478743576,19394.1855468750,-6.1553597450
